2026-08-09T16:01:38.285+09:00  INFO 14460 --- [CardCapture-back] [File Watcher] rtingClassPathChangeChangedEventListener : Restarting due to 1 class path change (1 addition, 0 deletions, 0 modifications)
2026-08-09T16:01:56.508+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 405 / suitLクラブ s:4 / num: 5 numLab:5
2026-08-09T16:01:56.509+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=4 / num=5 / card-c:405
2026-08-09T16:01:56.509+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 406 / suitLクラブ s:4 / num: 6 numLab:6
2026-08-09T16:01:56.509+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=4 / num=6 / card-c:406
2026-08-09T16:01:56.509+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 407 / suitLクラブ s:4 / num: 7 numLab:7
2026-08-09T16:01:56.509+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=4 / num=7 / card-c:407
2026-08-09T16:01:56.509+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 408 / suitLクラブ s:4 / num: 8 numLab:8
2026-08-09T16:01:56.510+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=4 / num=8 / card-c:408
2026-08-09T16:01:56.510+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 409 / suitLクラブ s:4 / num: 9 numLab:9
2026-08-09T16:01:56.510+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=4 / num=9 / card-c:409
2026-08-09T16:01:56.511+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 410 / suitLクラブ s:4 / num: 10 numLab:10
2026-08-09T16:01:56.511+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=4 / num=10 / card-c:410
2026-08-09T16:01:56.511+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 411 / suitLクラブ s:4 / num: 11 numLab:ジャック
2026-08-09T16:01:56.511+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=4 / num=11 / card-c:411
2026-08-09T16:01:56.511+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 412 / suitLクラブ s:4 / num: 12 numLab:クイーン
2026-08-09T16:01:56.511+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=4 / num=12 / card-c:412
2026-08-09T16:01:56.511+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 413 / suitLクラブ s:4 / num: 13 numLab:キング
2026-08-09T16:01:56.511+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=4 / num=13 / card-c:413
2026-08-09T16:01:56.512+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 414 / suitLクラブ s:4 / num: 14 numLab:エース
2026-08-09T16:01:56.512+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : suit=4 / num=14 / card-c:414
2026-08-09T16:01:56.515+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 501 / suitLジョーカー s:5 / num: 1 numLab:1
2026-08-09T16:01:56.519+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; makeCard :code; 502 / suitLジョーカー s:5 / num: 2 numLab:2
2026-08-09T16:01:56.520+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] jp.co.ea.cardcapture.model.TrumpDeck     : createDeck; 終了
2026-08-09T16:01:56.523+09:00  INFO 14460 --- [CardCapture-back] [http-nio-8080-exec-3] j.c.e.c.service.CardCuptureInitService   : CardCuptureInitService; init 終了
2026-08-09T16:03:45.192+09:00  INFO 14460 --- [CardCapture-back] [File Watcher] rtingClassPathChangeChangedEventListener : Restarting due to 23 class path changes (3 additions, 3 deletions, 17 modifications)
2026-08-09T16:03:45.194+09:00  INFO 14460 --- [CardCapture-back] [Thread-5] o.s.boot.tomcat.GracefulShutdown         : Commencing graceful shutdown. Waiting for active requests to complete
